date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:36:35	375/375	---MCZ	200	added ('OK')	text/html	etag:W/%22177-42d76fc6968c0%22	http://www.bigd-online.com/JG/JGFrame.html	C:/HTTrack/Diablo1/www.bigd-online.com/JG/JGFrame.html	(from )
15:36:35	569/569	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Mar%202024%2020:36:34%20GMT	http://www.bigd-online.com/robots.txt		(from )
15:36:35	36812/36812	---MCZ	200	added ('OK')	text/html	etag:W/%228fcc-42dff4a0b2f40%22	http://www.bigd-online.com/JG/Menu/JGMenu.html	C:/HTTrack/Diablo1/www.bigd-online.com/JG/Menu/JGMenu.html	(from http://www.bigd-online.com/JG/JGFrame.html)
15:36:36	1384/1384	---MCZ	200	added ('OK')	text/html	etag:W/%22568-42dff45a208c0%22	http://www.bigd-online.com/JG/Body/JGStart.html	C:/HTTrack/Diablo1/www.bigd-online.com/JG/Body/JGStart.html	(from http://www.bigd-online.com/JG/JGFrame.html)
15:36:36	1978/1978	---M--	200	added ('OK')	text/css	etag:%227ba-42d76fc3ba200%22	http://www.bigd-online.com/JG/Menu/JGMenuStyle.css	C:/HTTrack/Diablo1/www.bigd-online.com/JG/Menu/JGMenuStyle.css	(from http://www.bigd-online.com/JG/Menu/JGMenu.html)
15:36:36	2917/2917	---MCZ	200	added ('OK')	text/html	etag:W/%22b65-446986f4af7c0%22	http://www.bigd-online.com/JG/Body/JG1.html	C:/HTTrack/Diablo1/www.bigd-online.com/JG/Body/JG1.html	(from http://www.bigd-online.com/JG/Menu/JGMenu.html)
15:36:37	1858/1858	---MCZ	200	added ('OK')	text/html	etag:W/%22742-42d76f8b75d40%22	http://www.bigd-online.com/JG/Body/JG1-1.html	C:/HTTrack/Diablo1/www.bigd-online.com/JG/Body/JG1-1.html	(from http://www.bigd-online.com/JG/Menu/JGMenu.html)
15:36:37	1100/1100	---MCZ	200	added ('OK')	text/html	etag:W/%2244c-42d76f8c69f80%22	http://www.bigd-online.com/JG/Body/JG1-2.html	C:/HTTrack/Diablo1/www.bigd-online.com/JG/Body/JG1-2.html	(from http://www.bigd-online.com/JG/Menu/JGMenu.html)
15:36:37	3396/3396	---MCZ	200	added ('OK')	text/html	etag:W/%22d44-42d76f8d5e1c0%22	http://www.bigd-online.com/JG/Body/JG1-3.html	C:/HTTrack/Diablo1/www.bigd-online.com/JG/Body/JG1-3.html	(from http://www.bigd-online.com/JG/Menu/JGMenu.html)
15:36:37	1237/1237	---MCZ	200	added ('OK')	text/html	etag:W/%224d5-42d76f8e52400%22	http://www.bigd-online.com/JG/Body/JG1-4.html	C:/HTTrack/Diablo1/www.bigd-online.com/JG/Body/JG1-4.html	(from http://www.bigd-online.com/JG/Menu/JGMenu.html)
